"Week End","FY","FYWK","MTH"
11/1/2020 00:00:00,2020,27,"January"
18/1/2020 00:00:00,2020,28,"January"
25/1/2020 00:00:00,2020,29,"January"
1/2/2020 00:00:00,2020,30,"January"
8/2/2020 00:00:00,2020,31,"February"
15/2/2020 00:00:00,2020,32,"February"
22/2/2020 00:00:00,2020,33,"February"
29/2/2020 00:00:00,2020,34,"February"
7/3/2020 00:00:00,2020,35,"March"
14/3/2020 00:00:00,2020,36,"March"
21/3/2020 00:00:00,2020,37,"March"
28/3/2020 00:00:00,2020,38,"March"
4/4/2020 00:00:00,2020,39,"March"
11/4/2020 00:00:00,2020,40,"April"
18/4/2020 00:00:00,2020,41,"April"
25/4/2020 00:00:00,2020,42,"April"
2/5/2020 00:00:00,2020,43,"April"
9/5/2020 00:00:00,2020,44,"May"
16/5/2020 00:00:00,2020,45,"May"
23/5/2020 00:00:00,2020,46,"May"
30/5/2020 00:00:00,2020,47,"May"
6/6/2020 00:00:00,2020,48,"June"
13/6/2020 00:00:00,2020,49,"June"
20/6/2020 00:00:00,2020,50,"June"
27/6/2020 00:00:00,2020,51,"June"
4/7/2020 00:00:00,2020,52,"June"
11/7/2020 00:00:00,2021,1,"July"
18/7/2020 00:00:00,2021,2,"July"
25/7/2020 00:00:00,2021,3,"July"
1/8/2020 00:00:00,2021,4,"July"
8/8/2020 00:00:00,2021,5,"August"
15/8/2020 00:00:00,2021,6,"August"
22/8/2020 00:00:00,2021,7,"August"
29/8/2020 00:00:00,2021,8,"August"
5/9/2020 00:00:00,2021,9,"September"
12/9/2020 00:00:00,2021,10,"September"
19/9/2020 00:00:00,2021,11,"September"
26/9/2020 00:00:00,2021,12,"September"
3/10/2020 00:00:00,2021,13,"September"
10/10/2020 00:00:00,2021,14,"October"
17/10/2020 00:00:00,2021,15,"October"
24/10/2020 00:00:00,2021,16,"October"
31/10/2020 00:00:00,2021,17,"October"
7/11/2020 00:00:00,2021,18,"November"
14/11/2020 00:00:00,2021,19,"November"
21/11/2020 00:00:00,2021,20,"November"
28/11/2020 00:00:00,2021,21,"November"
5/12/2020 00:00:00,2021,22,"December"
12/12/2020 00:00:00,2021,23,"December"
19/12/2020 00:00:00,2021,24,"December"
26/12/2020 00:00:00,2021,25,"December"
2/1/2021 00:00:00,2021,26,"December"
9/1/2021 00:00:00,2021,27,"January"
16/1/2021 00:00:00,2021,28,"January"
23/1/2021 00:00:00,2021,29,"January"
30/1/2021 00:00:00,2021,30,"January"
6/2/2021 00:00:00,2021,31,"February"
13/2/2021 00:00:00,2021,32,"February"
20/2/2021 00:00:00,2021,33,"February"
27/2/2021 00:00:00,2021,34,"February"
6/3/2021 00:00:00,2021,35,"March"
13/3/2021 00:00:00,2021,36,"March"
20/3/2021 00:00:00,2021,37,"March"
27/3/2021 00:00:00,2021,38,"March"
3/4/2021 00:00:00,2021,39,"March"
10/4/2021 00:00:00,2021,40,"April"
17/4/2021 00:00:00,2021,41,"April"
24/4/2021 00:00:00,2021,42,"April"
1/5/2021 00:00:00,2021,43,"April"
8/5/2021 00:00:00,2021,44,"May"
15/5/2021 00:00:00,2021,45,"May"
22/5/2021 00:00:00,2021,46,"May"
29/5/2021 00:00:00,2021,47,"May"
5/6/2021 00:00:00,2021,48,"June"
12/6/2021 00:00:00,2021,49,"June"
19/6/2021 00:00:00,2021,50,"June"
26/6/2021 00:00:00,2021,51,"June"
3/7/2021 00:00:00,2021,52,"June"
10/7/2021 00:00:00,2022,1,"July"
17/7/2021 00:00:00,2022,2,"July"
24/7/2021 00:00:00,2022,3,"July"
31/7/2021 00:00:00,2022,4,"July"
7/8/2021 00:00:00,2022,5,"August"
14/8/2021 00:00:00,2022,6,"August"
